pos_X	pos_y	c_theta	goal_X	goal_y	d_theta
0.0	0.0	0.0	100	0	0.25
10.0	0.0	-0.0125	100	0	0.25
19.999218760172475	-0.12499674481709788	-0.018750000000000003	100	0	0.25
29.997460999170286	-0.3124857586820904	-0.021015656470591684	100	0	0.25
39.995252791360315	-0.5226268541813538	-0.02055268834799081	-77.0	-187.0	0
29.99736478200603	-0.31711443993369076	0.4238849584545428	-77.0	-187.0	0
20.882385568953488	-4.430161235877069	1.1084863797681532	-77.0	-187.0	0
16.422218023889812	-13.380407348133462	2.1481261251695947	-77.0	-187.0	0
21.880102642099136	-21.759637354184978	-2.5762802512939778	-77.0	-187.0	0
13.435889701278715	-27.116433767161762	-2.448661975778221	-77.0	-187.0	0
5.74211749920991	-33.50438095719655	-2.3713916196703675	-77.0	-187.0	0
-1.4355895838837398	-40.46717644674723	-2.3215532309842706	-77.0	-187.0	0
-8.257513414722357	-47.77890368770994	-2.286577702142064	-77.0	-187.0	0
-14.819585692100777	-55.32471096237987	-2.2594827222515232	-77.0	-187.0	0
-21.174820902635673	-63.04552603714869	-2.2363294782855143	-77.0	-187.0	0
-27.349606811290762	-70.91140291021723	-2.2148408576185408	-77.0	-187.0	0
-33.35395330139718	-78.90814119696557	-2.1936410467533456	-77.0	-187.0	0
-39.18743392851695	-87.03036403144989	-2.1718300447949916	-77.0	-187.0	0
-44.84238728695241	-95.27787896104654	-2.1487377508515975	-77.0	-187.0	0
-50.3053958362503	-103.65376921762811	-2.1237710674380503	-77.0	-187.0	0
-55.55760535511135	-112.16342815145063	-2.096302649934228	-77.0	-187.0	0
-60.5741160945461	-120.81412870118277	-2.0655652227440475	-77.0	-187.0	0
-65.32239883708405	-129.61491338193233	-2.030515352050568	-77.0	-187.0	0
-69.75936205031698	-138.57668538552724	-1.9896104939169466	-77.0	-187.0	0
-73.82613600762856	-147.71240372510692	-1.94037875459219	-77.0	-187.0	0
-77.43839687228967	-157.0371863738145	-1.878463042653996	-77.0	-187.0	0
-80.16083151086234	-165.60485612340594	-1.7951228243058062	-77.0	-187.0	0
-81.60413250717355	-171.93049882550878	-1.680828159675652	-77.0	-187.0	0
-82.12322015335268	-176.62905809158477	-1.54126646207489	-77.0	-187.0	0
-82.02076027181761	-180.09775321300228	-1.382212428756357	-77.0	-187.0	0
-81.54073894358886	-182.6129059960071	-1.2091570183728024	-77.0	-187.0	0
-80.87057008492317	-184.38454790584873	-1.0270831221894703	-77.0	-187.0	0
-80.14559254603382	-185.58387221045743	-0.8403788081543773	-77.0	-187.0	0
-79.45512810095555	-186.3547640215832	-0.6528479194973492	-77.0	-187.0	0
-78.85018543247611	-186.81736847384025	-0.467773826544723	52.0	-126.0	0
-69.92444261695923	-191.3263722652834	0.0054081421965789245	52.0	-126.0	0
-59.924588856612885	-191.27229110694614	0.2732331390073853	52.0	-126.0	0
-50.29555404840137	-188.57383068250945	0.4269949907367458	52.0	-126.0	0
-41.19341060441638	-184.4324559439569	0.5154340176819446	52.0	-126.0	0
-32.49262188939422	-179.50333069331222	0.5657377268724626	52.0	-126.0	0
-24.050688089454894	-174.14294323367446	0.5933417797309019	52.0	-126.0	0
-15.75992002131541	-168.55159591479696	0.6070679425827488	52.0	-126.0	0
-7.546678296456355	-162.84697845443782	0.6119390010980816	52.0	-126.0	0
0.6386785743650343	-157.10242164844337	0.610736773451686	52.0	-126.0	0
8.830935793173776	-151.36770965385497	0.6048425957440771	52.0	-126.0	0
17.056851923316017	-145.68138361502588	0.5946247193439738	52.0	-126.0	0
25.340439809429686	-140.07940434578265	0.5794356986125914	52.0	-126.0	0
32.90878764575334	-135.12696344313508	0.5569565083675672	52.0	-126.0	0
38.297582758778226	-131.7712647370393	0.5237515097077053	52.0	-126.0	0
42.16011693127259	-129.54044293579867	0.4811253500251031	52.0	-126.0	0
44.94119351302934	-128.08860403450385	0.43052348178314254	52.0	-126.0	0
46.9480673361235	-127.16693767231551	0.3734849076250215	124.0	-180.0	0
56.25868224036136	-123.51831462999067	-0.1438357369639658	124.0	-180.0	0
66.15541686423708	-124.95171749889376	-0.4541704500433661	124.0	-180.0	0
